title,latitude,longitude,magnitude,date
022 km N 80° W of Bamban (Tarlac),15.33,120.37,2.8,26 June 2016 - 07:19 PM
051 km N 13° W of Claveria (Cagayan),19.06,120.98,4.2,26 June 2016 - 10:49 AM
033 km S 69° W of Vigan (Ilocos Sur),17.47,120.1,2.9,26 June 2016 - 01:02 AM
035 km S 81° E of Baguio City,16.36,120.8,2.5,26 June 2016 - 12:15 AM
011 km S 47° W of Jaro (Leyte),11.12,124.71,3.2,25 June 2016 - 11:56 PM
018 km N 25° W of Abra De Ilog (Occidental Mindoro),13.59,120.66,2,25 June 2016 - 08:33 PM
020 km S 43° E of Socorro (Surigao Del Norte),9.48,126.09,2.7,25 June 2016 - 08:30 PM
067 km N 24° W of Calayan (Cagayan),19.82,122.17,3,25 June 2016 - 04:32 PM
029 km S 41° E of Governor Generoso (Davao Oriental),6.45,126.25,5,25 June 2016 - 02:40 PM
104 km S 73° E of Marihatag (Surigao Del Sur),8.52,127.2,4.3,25 June 2016 - 10:02 AM
035 km S 50° W of San Antonio (Zambales),14.75,119.84,1.7,25 June 2016 - 06:42 AM
003 km S 44° W of Rapu-rapu (Albay),13.17,124.11,3.6,25 June 2016 - 12:50 AM
032 km N 49° W of Agno (Pangasinan),16.3,119.57,2.1,24 June 2016 - 11:15 PM
010 km S 18° E of Dilasag (Aurora),16.31,122.24,1.9,24 June 2016 - 10:07 PM
033 km S 67° W of Itbayat (Batanes),20.68,121.55,3.6,24 June 2016 - 09:53 PM
007 km S 67° E of Tingloy (Batangas),13.63,120.93,2.1,24 June 2016 - 09:16 PM
012 km N 78° E of Sison (Pangasinan),16.19,120.6,2.6,24 June 2016 - 11:51 AM
004 km S 40° W of Jasaan (Misamis Oriental),8.63,124.73,2.7,24 June 2016 - 11:02 AM
014 km N 64° E of Salcedo (Eastern Samar),11.2,125.77,3.7,24 June 2016 - 01:12 AM
017 km S 66 W of Calatagan (Batangas),13.77,120.49,2.4,24 June 2016 - 01:11 AM
118 km S 68° W of San Antonio (Zambales),14.54,119.07,2.6,23 June 2016 - 11:21 PM
214 km N 76° W of Currimao (Ilocos Norte),18.5,118.51,3.4,23 June 2016 - 08:59 PM
010 km N 52° E of Lupi (Camarines Sur),13.85,122.99,2.4,23 June 2016 - 08:48 PM
012 km S 60° W of Paluan (Occidental Mindoro),13.36,120.37,3.2,23 June 2016 - 09:48 AM
039 km N 90° E of Manay (Davao Oriental),7.21,126.89,2.7,23 June 2016 - 07:20 AM
011 km N 72° W of Palauig (Zambales),15.47,119.81,2,23 June 2016 - 03:55 AM
038 km S 05° W of Calayan (Cagayan),18.94,121.43,2.7,23 June 2016 - 03:01 AM
072 km N 39° W of Lubang (Occidental Mindoro),14.36,119.7,2.3,23 June 2016 - 01:58 AM
"014 km N 85° W of San Jacinto, Ticao Island (Masbate)",12.58,123.6,2.9,23 June 2016 - 01:53 AM
024 km S 85° W of Luna (La Union),16.84,120.15,2.2,22 June 2016 - 11:23 PM
075 km N 63° E of Divilacan (Isabela),17.65,122.94,2.4,22 June 2016 - 09:44 PM
008 km S 78° W of Calatagan (Batangas),13.82,120.56,2.4,22 June 2016 - 04:02 PM
037 km N 40° E of Cortes (Surigao Del Sur),9.53,126.41,2.4,22 June 2016 - 03:19 AM
032 km N 50° E of Calintaan (Occidental Mindoro),12.77,121.17,2.3,22 June 2016 - 12:13 AM
004 km S 15° W of Luna (Isabela),16.94,121.72,2.1,21 June 2016 - 11:07 PM
034 km N 82° E of Sablayan (Occidental Mindoro),12.88,121.07,2.1,21 June 2016 - 11:05 PM
024 km N 69° E of Paluan (Occidental Mindoro),13.17,120.69,2,21 June 2016 - 10:27 PM
049 km N 57° E of Bayabas (Surigao Del Sur),9.21,126.66,2.3,21 June 2016 - 08:57 PM
015 km S 81° E of Anda (Pangasinan),16.27,120.09,2.1,21 June 2016 - 07:51 PM
016 km N 58° E of Calintaan (Occidental Mindoro),12.65,121.06,2.2,21 June 2016 - 02:27 PM
057 km N 69 E of Cateel (Davao Oriental),7.98,126.93,3.7,21 June 2016 - 11:27 AM
059 km N 04° W of Calayan (Cagayan),19.82,121.42,4.2,21 June 2016 - 09:01 AM
015 km S 10° E of Calatagan (Batangas),13.7,120.66,2.6,21 June 2016 - 01:45 AM
002 km North 00° of Dipolog City (Zamboanga Del Norte),8.61,123.34,2.6,20 June 2016 - 09:57 PM
015 km N 65° W of Paluan (Occidental Mindoro),13.47,120.34,2,20 June 2016 - 08:56 PM
026 km N 13° W of Calintaan (Occidental Mindoro),12.81,120.89,2.5,20 June 2016 - 06:33 PM
017 km S 85° W of Bongabong (Oriental Mindoro),12.75,121.32,2.4,20 June 2016 - 06:17 PM
097 km N 84° E of Guiuan (Eastern Samar),11.13,126.61,3.2,20 June 2016 - 12:03 PM
008 km S 82° W of Ambaguio (Nueva Vizcaya),16.52,120.93,3.4,20 June 2016 - 03:33 AM
090 km S 58° W of Sabtang (Batanes),19.91,121.14,3.3,20 June 2016 - 03:18 AM
075 km S 51° W of Sabtang (Batanes),19.91,121.32,5.6,20 June 2016 - 02:20 AM
048 km S 05° E of Maasin (Southern Leyte),9.7,124.88,3.2,19 June 2016 - 06:32 PM
030 km S 83° E of Marihatag (Surigao del Sur),8.77,126.57,2.7,19 June 2016 - 01:11 PM
010 km S 00° E of Torrijos (Marinduque),13.32,122.17,3.5,19 June 2016 - 06:56 AM
013 km S 83° E of Torrijos (Marinduque),13.31,122.21,3.2,19 June 2016 - 05:31 AM
016 km N 18° E of Banton (Romblon),13.09,122.14,3.5,19 June 2016 - 05:20 AM
011 km N 64° W of Paluan (Occidental Mindoro),13.46,120.38,2.5,19 June 2016 - 01:48 AM
025 km S 15° W of Mamburao (Occidental Mindoro),13.01,120.53,2.9,19 June 2016 - 12:04 AM
026 km N 41° W of Jose Abad Santos (Davao Occidental),6.06,125.46,3.5,18 June 2016 - 07:33 PM
020 km S 65° E of Kabugao (Apayao),17.95,121.36,3.1,18 June 2016 - 07:04 PM
